Image,Status,Extracted Text,Ground Truth Text,Missing Words,Word Accuracy (%),Levenshtein Similarity
Buendia-Instruccion_pdf_page_1_png.rf.31aa8df6b8ac0193ef53ed053f55ba65,"Correct (Word Accuracy: 97.14%, Levenshtein Similarity: 0.69)",1e m ee dg __jw hr tir como niño entre los doétores se consagra humilde ella pequeña jnftruccion de los niños es afst que ella rambien se dirige 4 laju ventud pero delta como recucr do de lo que aprendió los nis hos como precisa explicacion de lo que deben eftudiar por ele so lagituloes muy vuesira y por ser para niños que consiais 4 la educacion de vuesira compañía lo es mucho mas en vos divi no esemplar de todas las virtss des ticnen abreviado el mas f q gura insinitamente amable inennití amable nino eesus s dulcikimo niño exsa e el lu6 de,"Vos , Dulcifsimo Niño
JESUS , que no folo os 
dignafteis de llamaros 
Doctor de los Niños , 
fino tambien de aſsif
tir como Niño entre los Doctores ,
ſe confagra humilde eſta pequeña
Inſtruccion de los Niños . Es aſsi ,
que ella tambien ſe dirige à la ju-
ventud ; pero à eſta , como recuer-
do de lo que aprendió , à los Ni-
ños , como preciſa explicacion de
lo que deben estudiar . Por eſte ſo-
lo titulo es muy vueſtra ; y por
fer para Niños , que confiais à la
educacion de vueſtra Compañia ,
lo es mucho mas . En Vos , ( Divi-
no Exemplar de todas las virtu-
des ) tienen abreviado el mas ſe-
guro
NIÑO
INFINITAMENTE 
Ex/ſai.33: 
19
. Et Luc. 2.
46.
AMABLE
JESUS.","__jw, lagituloes, inennití",97.14285714285714,0.6890343698854338
Buendia-Instruccion_pdf_page_2_png.rf.3dfe8354b705915ab7602b31ca902f74,"Correct (Word Accuracy: 96.37%, Levenshtein Similarity: 0.27)",viísimos abrazos dichosa edad msito que o5 mereció tan regalados ca riños y pues en la celesial jern saltn no ha mudado de condicion vuehra benignidad proseguid 5 niño tierno y díos eterno proseguid en bendecirls y savo recerles sean tan servorosamen te devotos de vuelira admirable ce 81 manns que e porten como sas hijos y hermanos de leche con vos serin sabios f sueren caf 597 108 que no entra vuelira sabi duría donde no ay mucha pure 24 de conciencia crezcan en vueftro anto temór y amor co como enlos añosy mucho mas adelantense en a virtud como en las letras y mucho mas haf 44 exbe es que lleguea por vuchra mi 41 tacion 4 ser varones perseños y consamados agradibles 4 vueliros ojos y provechosos 4 la republica que libra casi to de f seizidad en la accrrada erian urodiseño 1u edad la relis gion paracon dios en la devora afsiltéciad los templosla piedad con los padres en la obediencia más rendida r modellia y des seo de saber y con los mayores guftando mas de oir y pregun tarque de desiniry resolverbien que eo 2a vueftra insicita sabi duria sue soberana dignacion y en la natural ignoranciz de los niños es indifpensable necefsi dad ni tienen solamente en vos el diseño la luz y el evemplo sino tambien el amor y protec cion vos como singularmael ero de los niños les dais enten dimiento y comunicais la sabi duriavos es promereis el reyno delosciclos y as indignais con quien les aparta de vos y les propóneis por norma_ del cam dór inocencia y chrifttana ho mildad vuelro amor parece que n0 pudo explicarse mas cierno y liberal con los niños pues no contento de echasles vueliras dis divi aerlto a de eparft 4 c u e eca,"guro diſſeño de su edad : la Reli-
gion para con Dios en la devota
aſsiſtécia à los Templos ; la piedad
con los Padres en la obediencia
mas rendida ; la modeſtia , y de-
feo de faber , con los mayores ,
guſtando mas de oir , y pregun-
tar , que de definir , y reſolver . Bien
que eſto en vueſtra infinita Sabi-
duria fuè ſoberana dignacion , y
en la natural ignorancia de los
Niños es indiſpenſable neceſsi-
dad .
Ni tienen folamente en Vos
el diſſeño , la luz , y el exemplo ,
ſino tambien el amor , y protec-
cion . Vos , como ſingular Maef-
tro de los Niños , les dais enten-
dimiento , y comunicais la ſabi-
duria . Vos les prometeis el Reyno
de los Cielos , y os indignais con
quien les aparta de Vos , y les
proponéis por norma del can-
dór , inocencia , y chriſtiana hu-
mildad . Vueſtro amor parece que
no pudo explicarſe mas tierno , y
liberal con los Niños , pues no
contento de echarles vueſtras di-
divi-
Pſal.114.6.
118.130.
18.8.
Mattb . 19.
14-
Marci, 10.
14.
Matt. 18.
2. &c.
Luc. ibid.
divinas bendiciones , les uniſteis
á vuestro ſagrado pecho con ſua-
viſsimos abrazos . Dichofa edad ,
que os mereció tan regalados ca-
riños !
Y pues en la celeſtial Jeru-
ſalèn no ha mudado de condicion
vuestra Benignidad , proſeguid ,
ò Niño tierno , y Dios Eterno ,
proſeguid en bendecirles , y favo-
recerles . Sean tan fervoroſamen-
te devotos de vueſtra Admirable
MADRE , que ſe porten como ſus
hijos , y hermanos de leche con
Vos . Seràn ſabios , ſi fueren caf-
tos ; que no entra vueſtra Sabi-
duria , donde no ay mucha pure-
za de conciencia . Crezcan en
vueſtro ſanto temór , y amor , co-
como en los años , y mucho mas .
Adelantenſe en la virtud , como
en las letras , y mucho mas ; haf-
ta que lleguen , por vueſtra imi-
tacion , à ſer varones perfectos ,
y confumados , agradables á
vueſtros ojos , y provechofos á
la Republica , que libra caſi to-
da ſu felizidad en la acertada
crian-
Marci . 10.
16-
Cant 8.1
Sap . 1. 4 .
Ad Epheſ
4. 13.","exbe, urodiseño, paracon, afsiltéciad, tarque, resolverbien, singularmael, duriavos, delosciclos, aerlto, eparft",96.36963696369637,0.27007299270072993
Buendia-Instruccion_pdf_page_3_png.rf.1507d0da8b268b462acb22ac7fc676b4,"Correct (Word Accuracy: 91.63%, Levenshtein Similarity: 0.40)",de orden del nuftre señor doñ friz cifco de baliero y de vilsnz dr en ambos drechos canonigo y sastiftán dignidad de la anta lgl de gerona y vicario general por el luftrifsimo señor d balthasar de baftéro y lledo obifpol de geronadel consejo de su mageftadcg hevilto un librico cuyo titulo es 754 aruecion de coriflana y política cortesóa mla g su anhor d sauto aguftin de buendia colegial que suz en el imperial de cordellas ec y brevemente digoy no solo quenada contiene contra la ee y1 buenas coftumbres sino que muy atento el author con entrambas defcribe y en señatan culta y disereta la virtud cos mo santa la policia y urbanidad los sehoritos que se criáren con eftos do cumentos merecetán quado hombres aver nacido señores porque no solo sa brán ser caballeros sino umbi b le eelánza de la niñkr ari c divinibimo niño por vueñra gracia 6i sea a vuelra mas yor gloria amen censura del r p antonto co dernla de la compañila de jesus maf su de thrdlogha exeminador yed e ls o d gn u el7 barceoma pes censura del r p antonto coy dornka de la compañla de jesus massa m1usu de theologls exsminador syrodal de ls obgmmamu u ye y bareelono ye censt ae,"crianza de la Niñez . Afsi sea;
Divinifsimo Niño , por vuestra
gracia , afsi sea , à vuestra ma-
yor gloria. Amen .
CENSURA DEL R. P. ANTONIO COA
dorniu de la Compañia de Jesus , Maef-
tro que fuè de Theologia , Examinador
Synodal de los Obiſpados de Gerona , Ura
gel , y Barcelona , &c.
E orden del Iluſtre Señor Don Fran-
cifco de Baſtèro y de Vilana , Dr. en
ambos Drechos , Canonigo , y Sacriſtàn
Dignidad de la Santa Igieſia de Gerona , y
Vicario General por el lluſtriſsimo Señor ,
D. Balthafar de Baſtèro y Lledò , Obiſpo
de Gerona , del Conſejo de ſu Mageſtad , &c.
He viſto un Librito , cuyo titulo es : Inf-
truccion de Chriſtiana , y Politica Corteſa-
nia , &c. Su Author D. Fauſto Aguſtin de
Buendia , Colegial que fuè en el Imperial
de Cordellas , &c. Y brevemente digo ,
no ſolo que nada contiene contra la Fé , y
buenas coſtumbres , ſino que muy atento
el Author con entrambas , deſcribe , y en-i
ſeña tan culta , y diſcreta la Virtud , co-
mo ſanta la Policia , y Urbanidad . Los
Señoritos , que ſe criaren con estos do-
cumentos , mereceràn , quando hombres ,
aver nacido Señores . Porque no ſolo ſa-
bran ſer Caballeros , ſino tambien à lo
Caba-
CENSU.
D","nuftre, baliero, sastiftán, luftrifsimo, geronadel, mageftadcg, hevilto, 754, coriflana, quenada, señatan, umbi, eelánza, dernla, thrdlogha, massa, m1usu, obgmmamu",91.62790697674419,0.4022589052997394
Buendia-Instruccion_pdf_page_4_png.rf.e61e9006b4ab8ce295831033c8f265de,"Correct (Word Accuracy: 97.91%, Levenshtein Similarity: 0.74)",cabaliero muy santos por rodo lo qual 4 mas de la licencía que solicita mes rece el cortesano zelo del anthor muchas gracias de quantos se interesían en tan primorosa como necelaria educacion de la primera edad de los nobles de cu yo aciereo fc deriva la primera utilidad y decoro 4 la republica ag lo sicn 10 salvo bc en efte colegio de san martin de la compañia de jefs de geros na 1 de julio de r740 deorden de v a be vito el librito que conel titulo de políticay chrif slana cortesania ór desea sacar 4 luz el señor d saufto aguítin de buendia pa sa darlc todos com el conciertoque presa eribe para las operaciones que cada mno debe praicar defde el ofrecimiento de las obras por sa mañana hasa el examen de 1a conciencia ultima disigencia que debe cerrar muefras cartas antes de cone eeder al cuerpo bídn defcanso para tomaraos diariameshte cuenta de todas las partidas del cargo y deícargo como la hemos antonio codorniz de la compañia de jesus die 15salil 1740 imprimarur de basiero vis gen o off cens censura del r p marlano albe censura del r p mariano albe rid de 1cmim jesas catbedra tico ontes de theologla en el calegio de barselona 0y presetro de sur eftadios retor que d del colegio e cordelas y degerona calisiador del santo osiio exeminador synodal de musbos olifpa dos es xx,"Antonio Codorniu , de la
Compañia de Jeſus 
Die 15. Julii , 1740 .
Imprimatur.
De Baſtéro Vic . Gen. & Offic .
Caballero muy Santos. Por todo lo qual ,
á mas de la licencia , que ſolicita , me-
rece el Cortefano Zelo del Author muchas
gracias de quantos ſe intereſſan en tan
primorofa , como neceſſaria educacion
de la primera edad de los Nobles : de cu-
yo acierto ſe deriva la primera utilidad ,
y decoro à la Republica . Afsi lo ſien-
to , ſalvo , &c. En efte Colegio de San
Martin de la Compañia de Jeſus de Gero-
na , á 15. de Julio de 1740 .
E orden de V. A. he viſto el Librito ,
que con el titulo de Politica , y Chrif-
tiana Corteſania , &c. defea facar à luz el
Señor D. Fauſto Aguſtin de Buendia , pa-
ra darle à todos con el concierto , que pref-
cribe para las operaciones , que cada uno
debe practicar , deſde el ofrecimiento de
las obras por la mañana , hafta el examen
de la conciencia , ultima diligencia , que
debe cerrar nuestras tarèas , antes de con-
ceder al cuerpo el debido deſcanſo , para
tomarnos diariamente cuenta de todas las
Partidas del cargo , y deſcargo , como la
hemos
D
CENSURA DEL R. P. MARIANO ALBE-
rich de la Compañia de Jefus , Cathedra-
tico antes de Theologia en el Colegio de
Barcelona , ( oy Prefecto de fus Eftudios )
Retor que fuè del Colegio de Cordellas , y
de Gerona , Calificador del Santo Oficio ,
Examinador Synodal de muchos Obiſpa-
dos , &c.
M.
P.
S.
CENSU.","conciertoque, muefras, bídn, 15salil, 1cmim",97.90794979079497,0.740968485780169
Buendia-Instruccion_pdf_page_5_png.rf.e356bea28e4331a8e366668521c25238,"Correct (Word Accuracy: 98.42%, Levenshtein Similarity: 0.93)",hemos de dár en otro mas severo eribuz mal quien 4 ee pequeño volumen mis diere por el cuerpo no le dará la elimas cion que se merece pero quien aendiea reála mucha alma que encierra sorma rá el debido concepto de su preciosidad cosas 2y que se celebran por lo agigans tado como el coloso y las ay tambien como el niño de bruto que tuvieron igual aplauso por aver reducido cai d puntos indivisibles todo el artísio de cosís grandes ag ay authores que han lenado de líbros grandes los esan tes actedirandose hafta con el oro que luce en sus cubiertas otros con no menor aciertohan dado á luz libritos may samiliares que se dexan rratar d todos horas compañeros inseparables de sus dueños los quales yá en las cubiertas llevan aquella inseripcion 6 elogio que dió el acuminoso marcial 4 sus elcritos me manas una capit y como seria me cedad querer eltimar el valor de el día mante antes por la grandeza que n0 tiene que por los sondos con que le hurta al sol los rayos en la preciosá bri llantez de sus resexos asi lo seria no colocar entre las joyas de mayor 1í_fcn e e sibrico todo luz y todo alma bien pudiera el señor d sauño aguftin mof frar en otros asuntos u mucha erudia cion con libros correfpondientes d da acredirada sibiduría pero no sé si en todos ellos pudiera gualmente aereditas f piedad para con dios si 2lo para con los proximos i ser de gual prove cho pará sos almas con eño he dicho quan digno es de que y a le concedz d licencia que solicita para que im prima y corra librementes ojala en las manos de todos prafticando quanto en el se preseribe afsilosiento salvo siem pre dic barcelona y junio 14de 17404 marlane alberisb de la compañie de jesua suma,"hemos de dár en otro mas ſevero tribu-
nal . Quien à eſte pequeño volumen mi-
diere por el cuerpo , no le darà la eſtima-
cion , que ſe merece : pero quien atendie-
re á la mucha alma , que encierra , forma-
rá el debido concepto de ſu precioſidad .
Cofas ay , que ſe celebran por lo agigan-
tado , como el Colofo : y las ay tambien ,
como el Niño de Bruto , que tuvieron
igual aplauſo , por aver reducido caſi á
puntos indivifiibles todo el artificio de
coſas grandes . Afsi ay Authores , que
han llenado de libros grandes los eſtan-
tes , acreditandoſe haſta con el oro , que
luce en ſus cubiertas : otros , con no
menor acierto , han dado á luz libritos mas
familiares , que ſe dexan tratar à todas
horas , compañeros inſeparables de ſus
dueños : los quales yà en las cubiertas
llevan aquella inſcripcion , ó elogio , que
dió el acuminoſo Marcial á ſus eſcritos :
Me manus una capit . Y como ſeria ne-
cedad , querer eſtimar el valor de el dia-
mante , antes por la grandeza , que no
tiene , que por los fondos , con que le
hurta al Sol los rayos en la precioſa bri-
llantèz de ſus reflexos : aſsi lo ſeria no
colocar entre las joyas de mayor precio
eſte
eſte librito , todo luz , y todo alma . Bien
pudiera el Señor D. Fauſto Aguſtin mof-
trar en otros afſuntos ſu mucha erudi-
cion con libros correfpondientes à ſu
acreditada ſabiduría ; pero no sé fi en
todos ellos pudiera igualmente acreditar
ſu piedad para con Dios , ni ſu zelo para
con los proximos , ni ſer de igual prove-
cho para ſus almas . Con eſto he dicho ,
quan digno es de que V. A. le conceda
la licencia , que ſolicita , para que ſe im-
prima , y corra libremente ; ojala en las
manos de todos , practicando quanto en
el ſe preſcribe . Afsi lo ſiento , ſalvo ſiem-
pre , &c. Barcelona , y Junio 14. de 1740.
Mariano Alberich de la
Compañia de Jefus .
SUMA","reála, artísio, aciertohan, 1í_fcn, afsilosiento",98.41772151898735,0.9307105108631826
Buendia-Instruccion_pdf_page_6_png.rf.4d6abc7647183e67c3ba93ea8d71e938,"Correct (Word Accuracy: 96.04%, Levenshtein Similarity: 0.61)",de la obra a devocion y aseño que delde mis l tiernos años prosefse 4 la sagrada religion de 1a compañía de jesus y la prosedare erernamente como hijo el mas reconocido d tan eftogida madre me obligó 4 efcrivir y dar a la elampa efta infruccion para sus señores colegiales sin que por elío se niegue d servir los de mis séñoritos que no lo saeren y aun que la compañia mas por si conocida atencion que por el merito que yo no tengo recibirá con gulto eflc mi able quío todavia por dirigiríe 4l culivo de aquellas plantas que la divina pro videncia por medio del gran partiarca tonacio só al caydado zcloso de su de licada mano é yoy lo sé muy bien que e merecerá elta obrita la primera apcov bacion juzgo que nadie ignora quanto trabaja la compañia en la crianza de los miños en sus colegios tartz igualmente penosa que provechosa para guardar les del mal infruirles en el biens y que por esío les enseña las buenas lm_sn para insor motivo del author y razon de la obra suma del privilegio lis d manuel licardo de ribrra corresh gen porsu megesad moti d pedro manuel de contreras tassa añaroa los señores del consejo eñe libro intitulado 2nfraccion de ctrisiona y palítica cortesania i seis maravedis cadapliego como conta de su original madridy agoflo d 22 de 1740 d pedro manaal de contreras ser de erratas f5t libro inticolado 2mfrucion de ctriflanay política cortesania cor vefponde en todo con f original madrid d 0 de agoflo de 1740 yene licencia de su magesad don sauño agusin de buendia para que por una vez pueda imprimir ele libro intitulado infruerios de chrisims y polítca cortesanis como mas argamied teconfta de h original madrid y julio 48 de 1790,"MOTIVO DEL AUTHOR , Y RAZON
de la Obra .

A devocion , y afecto , que deſde mis
tiernos años profeſsè à la Sagrada
Religion de la Compañia de Jesus , y la
profeſſare eternamente , como hijo el mas
reconocido á tan efcogida Madre : me
obligó à eſcrivir , y dar a la Eſtampa eſta
Inſtruccion para ſus Señores Colegiales ,
fin que por eſſo ſe niegue à ſervir à los de-
màs Séñoritos , que no lo fueren . Y aun-
que la Compañia , mas por ſu conocida
atencion , que por el merito , que yo no
tengo , recibirà con guſto eſte mi obſe-
quio ; todavia , por dirigirſe al cultivo
de aquellas Plantas , que la Divina Pro-
videncia , por medio del Gran Patriarca
IGNACIO , fió al cuydado zeloſo de ſu de-
licada mano : sé yo , y lo sé muy bien , que
le merecerà eſta Obrita la primera apro-
bacion .
Iene licencia de ſu Mageſtad Don
Fauſto Aguſtin de Buendia para que
por una vez pueda imprimir eſte Libro ,
intitulado : Inſtruccion de Chriſtiana , y
Politica Corteſania , como mas largamen-
te conſta de ſu original . Madrid , y Julio
à 8. de 1740 
D. Pedro Manuel de Contreras .
T A S S A .
SUMA DEL PRIVILEGIO .
Juzgo , que nadie ignora , quanto
trabaja la Compañia en la crianza de los
niños en ſus Colegios ( tarèa igualmente
penoſa , que provechoſa ) para guardar-
les del mal , è inſtruírles en el bien ; y que
por eſſo les enfeña las buenas letras , para
infor-
T
Chriſtiana , y Politica Corteſania , à ſeis
maravedis cada pliego , como conſta de ſu
original . Madrid , y Agoſto á 22. de 1740 .
D. Pedro Manuel de Contreras .
FEE DE ERRATAS .
Ste Libro , intitulado : Inſtruccion de
Chriſtiana , y Politica Corteſania , cor-
reſponde en todo con ſu original . Madrid
à 20. de Agoſto de 1740 .

Lic . D. Manuel Licardo de Ribera ,
Correct . Gen. por ſu Mageſtad .
MOTI-
T
E
Affaron los Señores del Conſejo eſte
Libro , intitulado : Inſtruccion de","infruirles, lm_sn, añaroa, 2nfraccion, ctrisiona, cadapliego, 2mfrucion, ctriflanay, infruerios, chrisims, argamied, teconfta",96.03960396039604,0.6071849234393404
Ezcaray-Vozes_pdf_page_10_png.rf.e098b341498eb1b0f3eabdf7c1392a83,"Correct (Word Accuracy: 97.52%, Levenshtein Similarity: 0.94)",en los caxones de palacio dóride por mis pecados le rienen los de come diasy otras cosas que somentá la pro sanidad mas por criado de v i efpero suba hafta el mas superior dosel y que dios deba a vs 1 laresorma de efta corruptela en que efta viciada roda la naturaleza en los rerminos de efta dedicatoria no cabe lo que es 7 lni lo que es notorio a ambos mundos ay necefflidad de re serirlo mayor panegirifta pedia tanto empeño a mi me bafta saber años ha que conozco a vsl y a rodo el orbe efcuchar que mas tiene la verdad que poderdezir de vslguesabe singir en va pretendiente la adulacion todavia no eft cultivado eftc inu til rronco para que de fruro sazonado eftarálo con la ayuda de dios y ya que yono tengo la dicha por la diftancia de que su mageftad me oyga y de def empeñar el insorme de vs l sudaran las,"en los caxones de Palacio , donde ( por
mis pecados ) le tienen los de Come-
dias , y otras coſas , que fomenta la pro-
fanidad ; mas por criado de V. I. eſpero
ſuba haſta el mas ſuperior doſel , y que
Dios deba a V. S. I. la reforma de eſta
corruptela , en que eſtà viciada toda la
naturaleza .
En los terminos de eſta dedicatoria
no cabe lo que es V. I. ni lo que es notorio
a ambos mundos ay neceſſidad de re-
ferirlo . Mayor Panegiriſta pedia tanto
empeño : a mi me baſta ſaber ( años ha ,
que conozco a V.S.I. ) y a todo el orbe
eſcuchar , que mas tiene la verdad , que
poder dezir de V.S.I. que ſabe fingir en
vn pretendiente la adulacion.
Todavia no eſtà cultivado eſte inu-
til tronco para que de fruto ſazonado :
eſtaràlo con la ayuda de Dios ; y ya que
yo no tengo la dicha ( por la diſtancia )
de que ſu Mageſtad me oyga , y de def-
empeñar el informe de V. S. I. ſudaràn
las","dóride, necefflidad, poderdezir, vslguesabe",97.51552795031056,0.9416058394160584
Ezcaray-Vozes_pdf_page_11_png.rf.86e6c9ec0da33433ac03c9ffbe7ee12c,"Correct (Word Accuracy: 96.34%, Levenshtein Similarity: 0.48)",frantonio de excaray las prensas efto es dar vozes los mol des y ilegaransi conviniere hafta eíth corre n señor luftridimo b l m de v s i con el debido rendimiento su criadoy capellan pare a ottc en el interin intenro agradecer lo que debo encomendandoa diosa v s l y suplicarle profptre y dilare su tl persona en la mayor grendeza y que defpues de muchos siglos en efta vida consiga en la orra muchas coro nas erc señor lluftrisimo,"las prenſas ( eſto es dar vozes los mol-
des ) y llegaràn , fi conviniere , haſta eſſa
Corte .
En el interin intento agradecer lo
que debo , encomendando a Dios a V.
S. I. y ſuplicarle profpère , y dilate ſu
Ilma . perſona en la mayor grendeza , y
que deſpues de muchos ſiglos en eſta
vida , configa en la otra muchas Coro-
nas , &c.
Señor Iluſtriſſimo
B. L. M.
de
V. S. I
con el debido rendimiento
ſu criado , y Capellan
Fr. Antonio de Ezcaray.
PARE.","ilegaransi, luftridimo, lluftrisimo",96.34146341463415,0.47916666666666663
Ezcaray-Vozes_pdf_page_1_png.rf.868929ed16b784a193913d60a4cbc062,"Correct (Word Accuracy: 93.48%, Levenshtein Similarity: 0.49)",eyo cupado en cl exercicio de __xfº k de las mifsiones en el z n y r obifpado de guadala eza aa recibivna de vsi a en que nté d noticia de como su magetftad que dios guarde se avia servido de honrarme con la murced de su predicador y como no íc opone la predicacion de su mngeí radala apoftolicatuve por de midbli gucidnm1íf et fkvor rindicndo a vslvel agradecimiento el rey mi señor que dios guarde hizo la gracia mas a vse se le debe que por mas frutos que diera la tierrá de promifsion no los lograra moyses ííjusucy caleb no los sácafsen dos sacaron el fruro y de ambos necefsito para hallar yn simil proporcionado ala grandeza de vsi a señor ilvstríssimo mereca de 1u i redicaciórn yy ccoomonoa 1c opone la predicacion de su mageí radala apoftolicatuve por de mi dbli gacidnf1ífffvór rindiendo a vslel agradecimiento el rey mi señor que dios guarde hizo la gracia mas a vst se le debhe que por mas frutos que diera la tierrá de promifsion no los lograra moyfcs íijosucy caleb no los sácafsen dos secaron el fruto y de ambos necemsito para hallar yn simil proporcionado ala grandeza de vsil a señor ilvstrissimo yia cupado en cl exercicio e7 aud u e las misones en el a e 7 r obifpado de guadala aa ararecibivia de vsi,"Cupado en el exercicio
de las Miffiones en el
Obifpado de Guadala-
xara , recibi vna de V.S.I.
en que me dà noticia de
como ſu Mageſtad ( que Dios guarde )
ſe avia ſervido de honrarme con la
merced de ſu Predicador ; y como no
ſe opone la predicacion de ſu Mageſ-
tad a la Apoſtolica , tuve por de mi obli
gacion admitir el favor , rindiendo a
 V.S.I. el agradecimiento .
El Rey mi ſeñor ( que Dios guarde )
hizo la gracia ; mas a V.S.I. ſe le debe :
que por mas frutos , que diera la tierra
de Promiſſion , no los lograra Moyſes ,
fi Joſue , y Caleb no los ſacaffen . Dos
ſacaron el fruto , y de ambos neceſſito ,
para hallar vn fimil proporcionado a la
grandeza de V.S.I.
A
SEÑOR
 ILVSTRÍSSIMO.","__xfº, recibivna, apoftolicatuve, midbli, gucidnm1íf, vslvel, ííjusucy, mereca, redicaciórn, ccoomonoa, apoftolicatuve, gacidnf1ífffvór, vslel, íijosucy, ararecibivia",93.47826086956522,0.4909983633387889
Ezcaray-Vozes_pdf_page_2_png.rf.fef088e98e91e58808aeda8644ad827c,"Correct (Word Accuracy: 95.62%, Levenshtein Similarity: 0.89)",a eftos dos nombres dn mifterio sas interpreraciones los sagrados in rerpretes a caleb le llaman quafr cor y ajolue domias sasorcorazonseñor 3ulvador y todos tres signisicados hallan en vl siendo encl minifterio de patriarca el aaron de palacio el sa cerdore grmdc de la gasa real en cu yo pecho mejor que enel racional fc lee verdad y dottcina para que como en animado pectoral de disereciones de canse el corazon de su magettad es rambien vi corezanociory salta dor de todaba chriftiandad en los rey nos de efpaña pues por su minifterto aimiracion del corazon divida efpiri rual alisalmis para que salven re particado la bala de la sanra cruzada alos sicles los primeros comilsirios de cru zada qu huvo sueron josuey calcb noesarrojo de predicador sino mre ligencia de eleriprurario pues en vn eí,"A eſtos dos nombres dan miſterio-
fas interpretaciones los Sagrados In-
terpretes . A Caleb le llaman Quafi cor ,
y a Joſue Dominus Salvator ; Corazon , Señor ,
y Salvador . Y todos tres ſignificados ſe
hallan en V. I. ſiendo en el miniſterio
de Patriarca el Aaron de Palacio , el Sa-
cerdote grande de la Caſa Real , en cu-
yo pecho mejor , que en el racional , ſe
lee Verdad , y Doctrina , para que como en
animado Pectoral de diſcreciones , def-
canſe el corazon de ſu Mageſtad .
Es tambien V. I. Corazon , Señor , y Salva-
dor de toda la Chriſtiandad en los Rey-
nos de España , pues por ſu miniſterio ,
a imitacion del corazon , da vida eſpiri-
tual a las almas para que ſe falven , re-
partiendo la Bala de la Santa Cruzada
a los fieles .
Los primeros Comiſſarios de Cru-
zada , que huvo , fueron Joſue , y Caleb
( no es arrojo de Predicador , ſino inte-
ligencia de Eſcripturario ) pues en vn
leño","sasorcorazonseñor, grmdc, corezanociory, alisalmis, noesarrojo, eleriprurario",95.62043795620438,0.8898203592814371
